Unnamed: 0,Price,Rating,Num_of_ratings,Category,cleaned_name
127,255.0,4.3,1351,Food essentials,fyn citric acid crystals g food grade nimbu sat
128,210.0,4.3,69,Food essentials,puramio whipping cream powder icing
129,205.0,4.4,137,Food essentials,kwality powder for cake cooking cookies idly dosa
130,236.0,4.3,196,Food essentials,five star china grass agar agar solid
131,135.0,3.9,211,Food essentials,jamboree multi pearls sprinkle mix rainbow magic pear
132,234.0,4.1,211,Food essentials,puramio culinary chocolate liquid food essence
133,116.0,4.1,34,Food essentials,puramate liquid food color red red
134,150.0,5.0,49341,Food essentials,foodfrillz cocoa powder g instant dry yeast
135,142.0,5.0,244,Food essentials,renewtria instant dry yeast powder for kulchas naans
136,80.0,4.4,85,Food essentials,five star instant china grass mixstrawberry chocolate
137,186.0,2.0,7,Food essentials,natures bridge natural citric acid nimbu sat lemon
138,89.0,4.0,8,Food essentials,konfiz iff american icecream soda flavouressence amer
139,169.0,4.1,26609,Food essentials,bake king grade a quality gm active instant dry yeas
140,93.0,4.0,9853,Food essentials,groly organic lemon powder citric acid powder
141,339.0,4.0,1314,Food essentials,whiskas months mackeral kg dry young cat fo
142,96.0,4.3,34,Food essentials,jamboree sodium benzoate helps to preserve food g
143,355.0,4.0,136,Food essentials,jamboree vital wheat gluten flour gm baking essenti
144,23.0,4.0,81,Food essentials,puramio liquid food colours ml each pack of m
145,233.0,4.1,26,Food essentials,puramate jelly crystal strawberry jelly crystals
146,163.0,5.0,366,Food essentials,jamboree cake sponge improver useful when making cakes
147,214.0,5.0,288,Food essentials,organic mandya pearled barley certified organic whole g
148,35.0,4.3,995,Food essentials,palfrey unsweetened natural g cocoa powder for mak
149,236.0,4.1,3,Food essentials,papilon assorted culinary essence ml x bottles
150,150.0,4.0,13541,Food essentials,goshudh premium quality baking sodameetha soda g ba
151,254.0,3.6,263,Food essentials,eat anytime himalayan pink salt natural salt with
152,210.0,4.0,457,Food essentials,brew lab active instant dry yeast sugar tolerant for
153,473.0,3.9,16415,Food essentials,jamboree hyderabadi biryani flavour food essence biriya
154,68.0,4.3,117,Food essentials,pramix dark chocolate chips choco chips for baking i
155,274.0,4.3,11,Food essentials,papilon food essence and colour ml pack of xml fo
156,218.0,4.2,2631,Food essentials,pedigree adult chicken milk kg dry young dog food
157,140.0,4.2,357,Food essentials,jamboree white edible pearls sprinkle cake sprinkle coo
158,158.0,4.0,280,Food essentials,chefzaa edible glazing gel for cake desserts toppings
159,330.0,4.0,49341,Food essentials,brew lab china grass strips plant based quick easy
160,55.0,4.1,69,Food essentials,nature stuff premium quality natural citric acid
161,167.0,4.1,244,Food essentials,active buy get ocean fish kg dry adult cat food
162,139.0,4.1,7051,Food essentials,nootie dog biscuit milk cheese kg dry new born dog f
163,380.0,4.1,7,Food essentials,whiskas years mackeral kg dry adult cat food
164,276.0,4.2,808,Food essentials,dhawak active dry yeast powder used for baking bread
165,116.0,4.2,24,Food essentials,papilon food essence and colour ml pack of xml fo
166,153.0,4.5,221,Food essentials,five star china grass agar agar solid
167,234.0,4.2,191,Food essentials,fyn citric acid crystals g food grade nimbu sat
168,191.0,4.2,781,Food essentials,five star instant china grass mixstrawberry chocolate
169,499.0,4.2,362636,Home Appliances,nova plus by nova amaze ni w dry iron
170,499.0,4.2,362636,Home Appliances,nova plus by nova amaze ni w dry iron
171,7.0,4.2,79640,Home Appliances,realme techlife kg star rating semi automatic top l
172,4.0,4.0,83694,Home Appliances,aqua fresh smoke audi ltr drink pure india st bis
173,2.0,4.4,31186,Home Appliances,atomberg efficio alpha w energy saving warra
174,549.0,4.2,82553,Home Appliances,bajaj dx w dry iron
175,2.0,4.0,39744,Home Appliances,pigeon healthifry digital with high speed air circu
176,525.0,4.2,184258,Home Appliances,orient electric panache plus dipcplp w dry iron
177,1.0,4.0,32358,Home Appliances,agaro regal handheld vacuum cleaner dry vacuuming
178,629.0,4.2,53699,Home Appliances,usha armorarwb w dry iron
179,4.0,4.1,26441,Home Appliances,kinsco aqua punch pro with isi mark rouvuftds adjust
180,4.0,4.1,4382,Home Appliances,kinsco aqua punch zinc copper and alkaline l ro u
181,699.0,4.3,86537,Home Appliances,havells by havells dazzle w dry iron
182,123.0,4.2,601,Home Appliances,hashone ml manual ice cream maker
183,1.0,4.3,86537,Home Appliances,havells by hlls blaze dry iron kg heavy w dry iro
184,517.0,4.2,105600,Home Appliances,bajaj majesty dx w dry iron
185,241.0,4.0,8340,Home Appliances,sro weighing scale digital portable hook type kglugg
186,1.0,3.8,5492,Home Appliances,homepro stainless steel water filter non electric
187,18.0,4.1,33864,Home Appliances,whirlpool kg fully automatic top load washing machi
188,4.0,4.1,26441,Home Appliances,kinsco aqua punch l ro uv uf copper tds cont
189,36.0,4.2,5487,Home Appliances,whirlpool model ton star split inverter ac
190,448.0,4.2,67378,Home Appliances,longway kwid w dry iron
191,649.0,4.3,349235,Home Appliances,bajaj majesty dx w dry iron
192,2.0,4.2,17763,Home Appliances,orient electric ujala prime star mm blade ceil
193,1.0,4.1,37983,Home Appliances,orient electric ujala air bee star rated star mm
194,549.0,4.2,184258,Home Appliances,orient electric fabripress difpbp w dry iron
195,4.0,3.9,989,Home Appliances,marq by flipkart aqua biz black tpt l ro uv uf
196,349.0,4.2,877,Home Appliances,pro w black hand blender
197,649.0,4.2,40467,Home Appliances,bajaj popular w dry iron
198,999.0,4.3,44732,Home Appliances,bajaj majesty dhx w dry iron
199,2.0,4.0,39744,Home Appliances,pigeon healthifry with high speed air circulation
200,449.0,4.3,1298,Home Appliances,voltas beko ivdbgwh w dry iron
201,599.0,3.7,13,Home Appliances,homeda rechargeable mini electric chopper stainless s
202,483.0,3.3,31,Home Appliances,homeda rechargeable mini electric chopper stainless s
203,875.0,4.3,27505,Home Appliances,orpat w white hand blender
204,3.0,3.9,48385,Home Appliances,eureka forbes quick clean dx dry vacuum cleaner with re
205,16.0,4.1,33864,Home Appliances,whirlpool kg fully automatic top load washing machi
206,2.0,4.1,6339,Home Appliances,bajaj crest neo mm fiji blue wall fan mm blade
207,1.0,4.2,27298,Home Appliances,pigeon popup toaster
208,6.0,4.2,25816,Home Appliances,marq by flipkart kg star rating innowash range semi
209,517.0,4.2,844,Home Appliances,grace plastic handle w shock proof immersion heat
210,448.0,4.0,8,Home Appliances,home tree immersion heater w shockproof rod
211,629.0,5.0,9268,Home Appliances,usha mist air flo mm blade table fan
212,649.0,4.2,49,Home Appliances,unque electric chopper for kitchen chop mince crus
213,1.0,5.0,37983,Home Appliances,orient electric ujala air star mm blade ceilin
214,257.0,4.0,17763,Home Appliances,orient electric ujala prime star mm blade ceil
215,270.0,4.2,56300,Home Appliances,home tree pcs w immersion heater rod water
216,2.0,4.0,31049,Home Appliances,home tree water heater w shock proof immersion rod
217,1.0,5.0,9,Home Appliances,marq by flipkart kg star rating innowash range se
218,1.0,4.3,5573,Home Appliances,avev sf electronic compact kitchen scale with max ca
219,2.0,5.0,56300,Home Appliances,home tree kw immersion water heater shock proo
220,328.0,5.0,37983,Home Appliances,home tree water heater w shock proof immersion rod
221,243.0,3.8,1435,Home Appliances,usha qh quartz room heater
222,7.0,5.0,17197,Home Appliances,rudraksh enterprises chopping master electric chopper
223,401.0,3.0,2692,Home Appliances,pigeon healthifry manual with high speed air circul
224,246.0,4.1,142,Home Appliances,marq by flipkart kg star rating innowash range semi
225,252.0,4.0,8,Home Appliances,orient electric ujala air bee star rated star mm
226,1.0,4.2,1,Home Appliances,chartbusters by chartbusters watt iron safetypa
227,1.0,4.0,9,Home Appliances,bajaj crest neo mm blade table fan
228,2.0,4.1,9,Home Appliances,havells fab alkaline l ro uv alkaline water purif
229,7.0,4.2,9,Home Appliances,usha armrarwb w dry iron
230,1.0,4.3,9,Home Appliances,hilton by hilton electric electric vegetable fruit ch
231,365.0,3.9,9,Home Appliances,wama wmhdt desert maker w food processor
232,1.0,3.8,9,Home Appliances,rudraksh enterprises chopping master electric chopper
233,9.0,4.0,80871,Home Appliances,rudraksh enterprises chopping master electric chopper
234,851.0,4.3,48,Home Appliances,rudraksh enterprises chopping master electric chopper
235,1.0,4.1,14,Home Appliances,rudraksh enterprises chopping master electric chopper
236,1.0,3.8,4023,Home Appliances,rudraksh enterprises chopping master electric chopper
237,1.0,4.0,10550,Home Appliances,rudraksh enterprises chopping master electric chopper
238,1.0,4.2,316,Home Appliances,kent ace l ro uv uf tds water purifier suitable
239,1.0,4.2,30765,Home Appliances,usha electric iron armor w dry iron
240,1.0,4.0,32301,Home Appliances,waimea electric vegetable fruit chopper
241,1.0,4.0,448,Home Appliances,pureit wave plus l ro uv minerals water purifier
242,1.0,3.8,3,Home Appliances,pureit eco water saver l ro uv mf water purifier
243,12.0,3.8,1222,Home Appliances,rico w black hand blender
244,826.0,3.8,362636,Home Appliances,orient electric ujala air deco star mm blade c
245,330.0,3.8,362636,Home Appliances,philips gc w dry iron
246,8.0,3.8,362636,Home Appliances,philips ac portable room air purifier
247,13.0,3.8,661,Home Appliances,makd pe round shape humidifier wooden l portable ro
248,1.0,4.4,41,Home Appliances,wipro by wipro vj w steam iron
249,1.0,4.2,184258,Home Appliances,nova plus by nova amaze ni w dry iron
250,1.0,2.6,26441,Home Appliances,nova plus by nova amaze ni w dry iron
251,22.0,4.4,86082,Home Appliances,nova plus amaze ni w dry iron
252,420.0,4.4,4382,Home Appliances,pratham enterprise electric vegetable fruit chopper
253,1.0,3.9,79640,Home Appliances,ilife ts self emptying robot vacuum and mop robotic f
254,1.0,4.0,601,Home Appliances,hichoice w dry iron
255,1.0,4.3,8340,Home Appliances,orient electric panache plus dipcplp w dry iron
256,2.0,4.3,5487,Home Appliances,kinsco aqua punch pro with isi mark rouvuftds adjust
257,1.0,3.7,5492,Home Appliances,livpure livpepstarcopper l ro uv uf minerals
258,257.0,3.9,989,Home Appliances,virza trade by no electric slicer
259,499.0,4.0,26441,Home Appliances,kinsco aqua punch zinc copper and alkaline l ro u
260,499.0,5.0,220,Home Appliances,realme techlife kg star rating semi automatic top l
261,529.0,5.0,67378,Home Appliances,chefware by chefware alpha electric vegetable fruit c
262,1.0,3.9,67378,Home Appliances,chefware echo electric vegetable fruit chopper
263,22.0,5.0,877,Home Appliances,makd pe round shape humidifier wooden l portable ro
264,525.0,5.0,4439,Home Appliances,makd pe round shape humidifier wooden l portable ro
265,4.0,4.2,86082,Home Appliances,hashone ml manual ice cream maker
266,10.0,5.0,104,Home Appliances,sro weighing scale digital portable hook type kglugg
267,3.0,5.0,1336,Home Appliances,makd pe round shape humidifier wooden l portable ro
268,4.0,4.0,182,Home Appliances,makd pe round shape humidifier wooden l portable ro
269,7.0,4.0,362636,Home Appliances,whirlpool model ton star split inverter ac
270,1.0,3.0,362636,Home Appliances,homepro stainless steel water filter non electric
271,1.0,4.1,80890,Home Appliances,aadgex by no manual ice crusher easytouse electric gr
272,420.0,5.0,79,Home Appliances,ghilaaf wood essence color changing led humidifier perf
273,423.0,1.0,98,Home Appliances,aiither aviral portable room air purifier
274,123.0,4.2,60,Home Appliances,hdl ceraflo hdl portable room air purifier
275,241.0,4.2,184258,Home Appliances,marq by flipkart aqua biz black tpt l ro uv uf
276,420.0,4.2,26441,Home Appliances,kinsco aqua punch l ro uv uf copper tds cont
277,419.0,4.1,99,Home Appliances,longway grace with isi approved w dry iron
278,36.0,3.6,4382,Home Appliances,longway kwid w dry iron
279,1.0,4.2,601,Home Appliances,longway kwid w dry iron
280,786.0,4.1,79640,Home Appliances,pro w black hand blender
281,419.0,4.3,8340,Home Appliances,crompton cromyon w dry iron
282,9.0,4.1,5492,Home Appliances,livpure livpepproplus l ro uv uf water purifi
283,10.0,4.2,1244,Home Appliances,hullaards filo wifi airpurifier watts portable room
284,4.0,4.2,56,Home Appliances,hullaards halo air purifier portable room air purifier
285,4.0,4.0,54,Home Appliances,livpure smart livpure aircare portable room air purifie
286,498.0,4.2,989,Home Appliances,o plus razer nonstick light weight w dry iron
287,448.0,3.8,26441,Home Appliances,impex nutrifry smart in function uses up to le
288,448.0,3.9,67378,Home Appliances,usha w dry iron
289,349.0,4.1,877,Home Appliances,nova plus by nova amaze ni w dry iron
290,599.0,4.3,1921,Home Appliances,nova plus by nova amaze ni w dry iron
291,8.0,4.2,5492,Home Appliances,flipkart smartbuy regal sbkwt w dry iron
292,5.0,4.2,362636,Home Appliances,always aqyagemufgravitybasedwaterpurifiernonelectric
293,5.0,4.2,362636,Home Appliances,usha by usha ei w dry iron
294,22.0,4.2,17216,Home Appliances,usha ei w dry iron
295,552.0,4.3,3954,Home Appliances,orient electric panache plus dipcplp w dry iron
296,3.0,4.5,8691,Home Appliances,kinsco aqua punch pro with isi mark rouvuftds adjust
297,799.0,4.2,32358,Home Appliances,usha by usha arwb w dry iron
298,1.0,4.1,184258,Home Appliances,swiss wonder electric vegetable fruit slicer
299,525.0,3.8,26441,Home Appliances,kinsco aqua punch zinc copper and alkaline l ro u
300,349.0,5.0,10160,Home Appliances,hashone ml manual ice cream maker
301,241.0,3.0,6346,Home Appliances,swiss wonder electric vegetable fruit chopper
302,448.0,4.2,4382,Home Appliances,swiss wonder electric vegetable fruit chopper
303,499.0,4.0,601,Home Appliances,swiss wonder electric vegetable fruit slicer
304,499.0,5.0,36906,Home Appliances,swiss wonder electric vegetable fruit slicer
305,459.0,4.2,82553,Home Appliances,realme techlife kg star rating semi automatic top l
306,1.0,5.0,19528,Home Appliances,sro weighing scale digital portable hook type kglugg
307,892.0,5.0,9176,Home Appliances,swiss wonder electric vegetable fruit chopper
308,640.0,4.0,79640,Home Appliances,swiss wonder electric vegetable fruit slicer
309,525.0,4.0,8340,Home Appliances,homepro stainless steel water filter non electric
310,4.0,2.0,22521,Home Appliances,skystar by sky star ocean plancha heavy weight soleplat
311,736.0,4.2,22521,Home Appliances,usha w dry iron
312,1.0,5.0,5492,Home Appliances,usha auwd w dry iron
313,4.0,4.0,5487,Home Appliances,yaroh electric vegetable fruit chopper
314,123.0,4.2,30381,Home Appliances,yaroh electric vegetable fruit chopper
315,1.0,4.2,7329,Home Appliances,marq by flipkart aqua biz black tpt l ro uv uf
316,1.0,4.2,9794,Home Appliances,kinsco aqua punch l ro uv uf copper tds cont
317,1.0,4.1,14632,Home Appliances,yaroh electric vegetable fruit chopper
318,1.0,4.2,67378,Home Appliances,yaroh electric chopper cutter for kitchen vegetable f
319,7.0,3.9,26441,Home Appliances,longway kwid w dry iron
320,241.0,4.2,3954,Home Appliances,pro w black hand blender
321,1.0,4.1,10193,Home Appliances,yaroh electric chopper cutter for kitchen vegetable f
322,1.0,4.1,989,Home Appliances,yaroh electric vegetable fruit chopper
323,1.0,4.1,877,Home Appliances,yaroh electric chopper cutter for kitchen vegetable f
324,829.0,4.2,121492,Home Appliances,yaroh electric vegetable fruit chopper
325,900.0,4.2,4030,Home Appliances,kinsco aqua flame litre copper ro l ro uv uf
326,947.0,4.0,23693,Home Appliances,homepro stainless steel water filter non electric
327,492.0,3.8,21322,Home Appliances,yaroh electric chopper cutter for kitchen vegetable f
328,492.0,4.1,1921,Home Appliances,yaroh electric chopper cutter for kitchen vegetable f
329,4.0,3.8,5492,Home Appliances,nova plus by nova amaze ni w dry iron
330,4.0,4.1,18740,Home Appliances,nova plus by nova amaze ni w dry iron
331,492.0,3.9,18740,Home Appliances,marq by flipkart range ton star split invert
332,737.0,4.3,3,Musical instruments,sagaft a kids piano keyboard piano for kids with mi
333,858.0,3.3,6,Musical instruments,sagaft a piano key electronic piano keyboard toy wit
334,460.0,3.8,27287,Musical instruments,beston keys piano toy with microphone usb power cab
335,769.0,3.7,966,Musical instruments,intern keys portable piano keyboard piano keyboard t
336,524.0,3.8,6225,Musical instruments,sai store piano keyboard toy kids with mic dc power opt
337,421.0,3.8,10,Musical instruments,aoko cm headless tambourine
338,229.0,4.0,1408,Musical instruments,medellin mhrsl silver harmonica
339,1.0,2.3,3,Musical instruments,just key piano keyboard toy for kids p dc power
340,679.0,3.5,333,Musical instruments,ziddjeet x piano key electronic piano keyboard toy w
341,1.0,4.2,116,Musical instruments,zuurvi toybucket a musical instrument piano with mi
342,317.0,3.7,217,Musical instruments,rudolf in musical melody educational piano xyloph
343,680.0,3.7,137,Musical instruments,kavana electronic piano keyboard recording and replay m
344,596.0,4.0,147,Musical instruments,pezyox musical piano key electronic piano keyboard t
345,290.0,3.8,74,Musical instruments,kavana the amazing music keyboard piano for age th
346,647.0,3.8,801,Musical instruments,nilesawar a piano toy with microphone usb power cab
347,694.0,3.7,737,Musical instruments,hk enterprises official piano keyboard toy for kids wit
348,631.0,3.8,1349,Musical instruments,bhalala enterprise pianio keys bigfun piano keyboard
349,582.0,3.9,1727,Musical instruments,shiv musical key battery operatedmobile charger pow
350,638.0,3.8,891,Musical instruments,kc collection key electric piano keyboard musical to
351,188.0,2.7,3,Musical instruments,mpix handmade brass percussion instrument with strap
352,657.0,3.8,33,Musical instruments,joyfun a piano with microphone input usb power s
353,627.0,3.5,163,Musical instruments,nilesawar x kids piano keyboard piano for kids with
354,631.0,3.7,116,Musical instruments,curve creation keys piano keyboard toy with micropho
355,626.0,3.7,60,Musical instruments,yodnso bf keys musical pianotoyinstrument anal
356,646.0,3.8,29,Musical instruments,frenish store bigfun keys piano keyboard toy with mi
357,742.0,3.8,2549,Musical instruments,kidzjoy bf a key bigfun piano keyboard toy for
358,615.0,3.9,276,Musical instruments,hkd sales key piano key piano toy keyboard for ki
359,537.0,3.6,23,Musical instruments,samenterprise a key piano keyboard toy for kids w
360,627.0,3.5,8,Musical instruments,collectionmart bigfun key piano keyboard toy with dc
361,722.0,3.8,1058,Musical instruments,just key piano keyboard toy for kids p key pi
362,854.0,3.9,1619,Musical instruments,star venture toy key piano keyboard musical instrume
363,854.0,3.6,75,Musical instruments,star venture beginners educational songs recording musi
364,627.0,2.8,5,Musical instruments,dwarikadhish enterprise keys piano keyboard toy with
365,653.0,3.5,13,Musical instruments,devta key piano keyboard toy for boys and girls with
366,617.0,3.8,2274,Musical instruments,amaflip kybrds keys kids and adult piano keyboard
367,829.0,3.3,3,Musical instruments,star venture keyboard piano keys piano kids electron
368,609.0,5.0,1423,Musical instruments,rchenterprise key piano toy keyboard for kids with m
